observation_phys_chem_id,property_phys_chem_id,procedure_phys_chem_id,unit_of_measure_id,value_min,value_max,observation_phys_chem_r_label
1,91,91,1,,,ph
2,203,203,2,,,ec
3,228,228,3,,,soc
4,6,6,4,,,tn
5,278,278,5,,,ap
6,314,314,6,,,k
7,315,315,6,,,ca
8,316,316,6,,,mg
9,317,317,6,,,na
10,311,197,3,,,clay
11,312,197,3,,,silt
12,313,197,3,,,sand
13,123,123,6,,,cec
14,115,115,7,,,bd
15,318,299,3,,,agg
16,299,275,8,,,fe
17,300,275,8,,,cu
18,301,275,8,,,zn
19,302,275,8,,,mn
20,303,275,8,,,b
21,304,275,8,,,as
22,305,275,8,,,pb
23,306,275,8,,,al
24,307,275,8,,,cd
25,308,275,8,,,cr
26,309,275,8,,,co
27,310,275,8,,,ni
